"STT","Tỉnh/thành","Link"
"1","Tuyên Quang","https://www.tuyenquang.gov.vn/vi/dia-diem-du-lich?id=180&type=NEWS"
"2","Cao Bằng","https://caobang.gov.vn/"
"3","Lai Châu","https://laichau.gov.vn/"
"4","Lào Cai","https://laocai.gov.vn/"
"5","Thái Nguyên","http://thainguyentourism.vn/"
"6","Điện Biên","https://dienbien.gov.vn/"
"7","Lạng Sơn","https://langson.gov.vn/"
"8","Sơn La","https://sonla.gov.vn/"
"9","Phú Thọ","https://dulichphutho.gov.vn/"
"10","Bắc Ninh","https://dulichbacninh.gov.vn/"
"11","Quảng Ninh","https://dulich.quangninh.gov.vn/"
"12","Hà Nội","https://sodulich.hanoi.gov.vn/"
"13","Hải Phòng","https://sodulich.haiphong.gov.vn/"
"14","Hưng Yên","https://hungyen.gov.vn/"
"15","Ninh Bình","https://ninhbinh.gov.vn/"
"16","Thanh Hóa","https://thanhhoa.gov.vn/"
"17","Nghệ An","https://nghean.gov.vn/"
"18","Hà Tĩnh","https://hatinh.gov.vn/"
"19","Quảng Trị","https://quangtri.gov.vn/"
"20","Huế","https://dulich.hue.gov.vn/"
"21","Đà Nẵng","https://danangfantasticity.com/"
"22","Quảng Ngãi","https://quangngai.gov.vn/"
"23","Gia Lai","https://gialai.gov.vn/"
"24","Đắk Lắk","https://mydaklak.vn/"
"25","Khánh Hòa","https://khanhhoa.gov.vn/"
"26","Lâm Đồng","https://lamdongtourism.com.vn/"
"27","Đồng Nai","https://dongnai.gov.vn/"
"28","Tây Ninh","https://dulich.tayninh.gov.vn/"
"29","TP. Hồ Chí Minh","https://sodulich.hochiminhcity.gov.vn/"
"30","Đồng Tháp","https://dulich.dongthap.gov.vn/"
"31","An Giang","https://angiang.gov.vn/"
"32","Vĩnh Long","https://vinhlong.gov.vn/"
"33","Cần Thơ","https://cantho.gov.vn/"
"34","Cà Mau","https://camau.gov.vn/"
